# time[~Gyr] ax ay az[(km/s)^2/kpc]
-5 0.0567701 -4.27654 -3.46419
-4.99219 0.0550803 -4.27694 -3.4558
-4.98438 0.0542347 -4.27861 -3.45293
-4.97656 0.0539419 -4.28086 -3.45349
-4.96875 0.052523 -4.28212 -3.44719
-4.96094 0.0499353 -4.28225 -3.43369
-4.95312 0.0476536 -4.28279 -3.42215
-4.94531 0.0459985 -4.28391 -3.41444
-4.9375 0.0443299 -4.28486 -3.40653
-4.92969 0.04269 -4.28597 -3.39888
-4.92188 0.0410726 -4.28721 -3.39144
-4.91406 0.0394463 -4.28838 -3.3839
-4.90625 0.037799 -4.28941 -3.37614
-4.89844 0.0361718 -4.29056 -3.36856
-4.89062 0.0345549 -4.29175 -3.36107
-4.88281 0.032912 -4.29278 -3.35331
-4.875 0.0312879 -4.29393 -3.34573
-4.86719 0.0296815 -4.29516 -3.33831
-4.85938 0.0281031 -4.29654 -3.33114
-4.85156 0.0265222 -4.29791 -3.32394
-4.84375 0.0249275 -4.2992 -3.3166
-4.83594 0.0233473 -4.30057 -3.30939
-4.82812 0.0217883 -4.30205 -3.30237
-4.82031 0.020231 -4.30354 -3.29537
-4.8125 0.0186663 -4.305 -3.28829
-4.80469 0.0171062 -4.30647 -3.28124
-4.79688 0.015553 -4.30796 -3.27424
-4.78906 0.0140028 -4.30948 -3.26727
-4.78125 0.0124543 -4.31102 -3.26032
-4.77344 0.0109115 -4.31259 -3.2534
-4.76562 0.00937609 -4.31417 -3.24654
-4.75781 0.00784187 -4.31579 -3.2397
-4.75 0.0063088 -4.31742 -3.23287
-4.74219 0.00478261 -4.31907 -3.2261
-4.73438 0.00326236 -4.32076 -3.21936
-4.72656 0.00174588 -4.32246 -3.21266
-4.71875 0.000231549 -4.32419 -3.20598
-4.71094 -0.0012797 -4.32593 -3.19932
-4.70312 -0.00278819 -4.32771 -3.19269
-4.69531 -0.0042928 -4.3295 -3.18609
-4.6875 -0.00579318 -4.33132 -3.17953
-4.67969 -0.00729087 -4.33316 -3.17299
-4.67188 -0.00878659 -4.33502 -3.16648
-4.66406 -0.0102791 -4.33691 -3.15999
-4.65625 -0.0117676 -4.33882 -3.15353
-4.64844 -0.0132531 -4.34075 -3.1471
-4.64062 -0.0147358 -4.34271 -3.1407
-4.63281 -0.0162156 -4.34469 -3.13432
-4.625 -0.0176925 -4.34669 -3.12797
-4.61719 -0.0191667 -4.34871 -3.12164
-4.60938 -0.0206383 -4.35076 -3.11534
-4.60156 -0.0221072 -4.35283 -3.10906
-4.59375 -0.0235736 -4.35492 -3.10281
-4.58594 -0.0250375 -4.35704 -3.09658
-4.57812 -0.0264991 -4.35918 -3.09038
