# name         	particl	GMM	rewind	mean	scatter	pmra	e_pmra	pmdec	e_pmdec	vlos	e_vlos
Sagittarius    	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.673	  0.081	 -1.383	  0.081  139.0   10.0
SagittariusII  	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.763	  0.050	 -0.912	  0.049 -176.3    9.9
Sculptor       	  0.008	  0.000	  0.001	  0.003	  0.004	  0.108	  0.049	 -0.172	  0.049  110.1   10.0
Segue1         	  0.000	  0.004	  0.000	  0.001	  0.002	 -2.051	  0.091	 -3.412	  0.091  208.0   10.0
Segue2         	  0.000	  0.000	  0.000	  0.000	  0.000	  1.429	  0.058	 -0.314	  0.057  -40.4   10.0
Sextans        	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.387	  0.049	  0.005	  0.049  223.6    9.9
SMC            	  0.962	  0.914	  0.954	  0.943	  0.021	  0.683	  0.050	 -1.241	  0.049  145.6    9.9
TriangulumII   	  0.000	  0.000	  0.000	  0.000	  0.000	  0.585	  0.074	  0.073	  0.074 -380.0   10.0
TucanaII       	  0.295	  0.269	  0.198	  0.254	  0.041	  0.904	  0.050	 -1.271	  0.051 -127.7   10.0
TucanaIII      	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.074	  0.084	 -1.621	  0.084 -101.3   10.0
TucanaIV       	  0.347	  0.179	  0.124	  0.217	  0.095	  0.563	  0.050	 -1.688	  0.050   16.3   10.0
TucanaV        	  0.003	  0.001	  0.000	  0.001	  0.001	 -0.135	  0.050	 -1.174	  0.055  -35.9   10.0
UrsaMajorI     	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.389	  0.049	 -0.628	  0.049  -54.8    9.9
UrsaMajorII    	  0.000	  0.000	  0.000	  0.000	  0.000	  1.719	  0.061	 -1.896	  0.061 -116.2   10.0
UrsaMinor      	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.135	  0.049	  0.060	  0.049 -245.7   10.0
Virgo1         	  0.101	  0.103	  0.147	  0.117	  0.021	 -0.271	  0.245	 -0.344	  0.245  137.1   97.1
Willman1       	  0.000	  0.000	  0.000	  0.000	  0.000	  0.273	  0.065	 -1.111	  0.074  -12.9   10.0
