# name         	particl	GMM	rewind	mean	scatter	pmra	e_pmra	pmdec	e_pmdec	vlos	e_vlos
AntliaII       	  0.007	  0.029	  0.004	  0.013	  0.011	 -0.089	  0.048	  0.079	  0.048  290.0   10.0
AquariusII     	  0.116	  0.168	  0.074	  0.119	  0.039	  0.093	  0.135	 -0.480	  0.121  -72.0    9.9
BootesI        	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.392	  0.049	 -1.052	  0.049  101.5   10.0
BootesII       	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.443	  0.070	 -0.453	  0.055 -116.1   10.0
BootesIII      	  0.015	  0.000	  0.000	  0.005	  0.007	 -1.154	  0.050	 -0.881	  0.050  195.6   10.0
BootesIV       	  0.119	  0.113	  0.090	  0.108	  0.013	 -0.183	  0.071	 -0.111	  0.068 -130.5   77.6
CanesVenaticiI 	  0.557	  0.683	  0.527	  0.589	  0.067	 -0.116	  0.034	 -0.126	  0.034   29.1    9.9
CanesVenaticiII	  0.298	  0.257	  0.321	  0.292	  0.026	 -0.166	  0.068	 -0.279	  0.060 -126.1    9.9
Carina         	  0.787	  0.805	  0.751	  0.781	  0.022	  0.517	  0.046	  0.128	  0.046  223.1   10.0
CarinaII       	  0.997	  0.979	  0.954	  0.977	  0.018	  1.879	  0.056	  0.135	  0.056  476.7   10.0
CarinaIII      	  0.996	  0.992	  0.992	  0.993	  0.002	  3.083	  0.076	  1.388	  0.075  285.9    9.9
CentaurusI     	  0.010	  0.016	  0.015	  0.014	  0.002	 -0.139	  0.048	 -0.198	  0.048  197.1   86.4
CetusII        	  0.000	  0.000	  0.000	  0.000	  0.000	  2.840	  0.070	  0.456	  0.070 -101.8  107.2
CetusIII       	  0.011	  0.005	  0.000	  0.005	  0.005	  0.186	  0.065	 -0.156	  0.068  -79.7   63.8
ColumbaI       	  0.001	  0.001	  0.000	  0.001	  0.000	  0.179	  0.059	 -0.280	  0.064  153.8    9.9
ComaBerenices  	  0.000	  0.003	  0.000	  0.001	  0.001	  0.423	  0.050	 -1.717	  0.050   97.7   10.0
CraterII       	  0.092	  0.294	  0.055	  0.147	  0.105	 -0.081	  0.045	 -0.103	  0.049   88.6    9.9
Delve1         	  0.000	  0.000	  0.001	  0.000	  0.000	  0.036	  0.111	 -1.543	  0.111  -55.1  134.3
Delve2         	  0.952	  0.924	  0.938	  0.938	  0.012	  0.961	  0.110	 -0.960	  0.081  162.4   91.4
Draco          	  0.605	  0.460	  0.586	  0.550	  0.065	  0.027	  0.048	 -0.185	  0.049 -290.0   10.0
DracoII        	  0.017	  0.000	  0.049	  0.022	  0.020	  1.100	  0.105	  0.902	  0.105 -346.3   10.0
EridanusII     	  0.000	  0.000	  0.000	  0.000	  0.000	  0.150	  0.033	 -0.065	  0.031   77.8    9.7
EridanusIII    	  0.975	  0.914	  0.973	  0.954	  0.028	  1.267	  0.110	 -0.658	  0.113  158.5   68.7
Fornax         	  0.552	  0.300	  0.473	  0.442	  0.105	  0.369	  0.046	 -0.354	  0.048   55.2    9.9
GrusI          	  0.064	  0.115	  0.053	  0.077	  0.027	  0.077	  0.048	 -0.310	  0.071 -138.8    9.9
GrusII         	  0.410	  0.226	  0.131	  0.256	  0.116	  0.387	  0.050	 -1.510	  0.051 -109.5   10.0
Hercules       	  0.001	  0.001	  0.003	  0.002	  0.001	 -0.065	  0.047	 -0.325	  0.046   43.4    9.9
HorologiumI    	  0.973	  0.923	  0.937	  0.945	  0.021	  0.860	  0.050	 -0.599	  0.049  113.6    9.9
HorologiumII   	  0.978	  0.926	  0.969	  0.958	  0.023	  1.058	  0.158	 -0.709	  0.161  169.1   12.7
HydraII        	  0.286	  0.253	  0.392	  0.310	  0.059	 -0.249	  0.100	 -0.032	  0.078  302.0    9.9
HydrusI        	  0.977	  0.965	  0.965	  0.969	  0.006	  3.782	  0.076	 -1.501	  0.076   81.5    9.9
Indus1         	  0.309	  0.312	  0.185	  0.269	  0.059	  0.000	  0.186	 -0.748	  0.291   11.6   90.9
LeoI           	  0.219	  0.354	  0.305	  0.293	  0.056	 -0.038	  0.038	 -0.124	  0.034  279.8    9.8
LeoII          	  0.516	  0.394	  0.524	  0.478	  0.060	 -0.084	  0.033	 -0.147	  0.032   78.0    9.8
LeoIV          	  0.047	  0.136	  0.032	  0.071	  0.046	 -0.091	  0.088	 -0.231	  0.093  132.7    9.9
LeoV           	  0.047	  0.039	  0.027	  0.037	  0.008	 -0.073	  0.091	 -0.267	  0.093  172.1   10.0
PegasusIII     	  0.267	  0.315	  0.264	  0.282	  0.024	  0.098	  0.077	 -0.240	  0.098 -223.6    9.9
Phoenix        	  0.000	  0.000	  0.000	  0.000	  0.000	  0.110	  0.023	 -0.097	  0.022  -17.0    9.6
PhoenixII      	  0.967	  0.901	  0.949	  0.939	  0.028	  0.506	  0.049	 -1.198	  0.058   32.1    9.9
PictorI        	  0.030	  0.037	  0.019	  0.028	  0.007	  0.190	  0.072	  0.018	  0.099  146.1   85.7
PictorII       	  0.997	  0.993	  0.994	  0.995	  0.002	  1.158	  0.059	  1.132	  0.055  327.3   79.4
PiscesII       	  0.437	  0.474	  0.433	  0.448	  0.018	  0.204	  0.078	 -0.347	  0.102 -226.8    9.9
ReticulumII    	  0.804	  0.735	  0.836	  0.792	  0.042	  2.376	  0.067	 -1.348	  0.067   65.4    9.9
ReticulumIII   	  0.130	  0.242	  0.099	  0.157	  0.061	  0.369	  0.144	 -0.436	  0.206  273.1   10.0
Sagittarius    	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.671	  0.081	 -1.383	  0.081  139.0   10.0
SagittariusII  	  0.001	  0.000	  0.000	  0.000	  0.000	 -0.762	  0.050	 -0.908	  0.050 -176.6   10.0
Sculptor       	  0.070	  0.050	  0.017	  0.046	  0.022	  0.108	  0.049	 -0.171	  0.049  109.9    9.9
Segue1         	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.052	  0.091	 -3.410	  0.091  208.2   10.0
Segue2         	  0.000	  0.002	  0.000	  0.001	  0.001	  1.428	  0.058	 -0.314	  0.057  -40.6   10.0
Sextans        	  0.002	  0.000	  0.001	  0.001	  0.001	 -0.389	  0.049	  0.005	  0.049  223.8    9.9
SMC            	  0.992	  0.879	  0.948	  0.940	  0.046	  0.683	  0.050	 -1.240	  0.049  145.5    9.9
TriangulumII   	  0.012	  0.001	  0.000	  0.004	  0.006	  0.585	  0.074	  0.073	  0.074 -380.1   10.0
TucanaII       	  0.337	  0.346	  0.138	  0.273	  0.096	  0.902	  0.050	 -1.270	  0.051 -127.8    9.9
TucanaIII      	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.073	  0.084	 -1.621	  0.084 -101.0   10.0
TucanaIV       	  0.348	  0.172	  0.121	  0.214	  0.097	  0.563	  0.050	 -1.688	  0.050   16.7   10.0
TucanaV        	  0.008	  0.002	  0.000	  0.003	  0.003	 -0.136	  0.050	 -1.176	  0.055  -35.6   10.0
UrsaMajorI     	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.387	  0.049	 -0.625	  0.049  -54.7    9.9
UrsaMajorII    	  0.000	  0.000	  0.000	  0.000	  0.000	  1.719	  0.061	 -1.898	  0.061 -116.3   10.0
UrsaMinor      	  0.610	  0.476	  0.612	  0.566	  0.064	 -0.134	  0.048	  0.060	  0.049 -245.8    9.9
Virgo1         	  0.129	  0.130	  0.119	  0.126	  0.005	 -0.249	  0.237	 -0.333	  0.247  146.8   94.4
Willman1       	  0.000	  0.004	  0.000	  0.001	  0.002	  0.273	  0.065	 -1.111	  0.075  -12.9   10.0
