# name         	particl	GMM	rewind	mean	scatter	pmra	e_pmra	pmdec	e_pmdec	vlos	e_vlos
AntliaII       	  0.013	  0.007	  0.011	  0.010	  0.003	 -0.091	  0.048	  0.079	  0.047  289.9    9.9
AquariusII     	  0.121	  0.129	  0.070	  0.107	  0.026	  0.090	  0.133	 -0.480	  0.116  -71.8    9.9
BootesI        	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.393	  0.049	 -1.051	  0.049  101.4    9.9
BootesII       	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.437	  0.070	 -0.454	  0.055 -116.2   10.0
BootesIII      	  0.003	  0.001	  0.000	  0.001	  0.001	 -1.155	  0.050	 -0.880	  0.050  195.5    9.9
BootesIV       	  0.051	  0.045	  0.094	  0.064	  0.022	 -0.172	  0.070	 -0.100	  0.071 -143.1   65.1
CanesVenaticiI 	  0.142	  0.200	  0.106	  0.150	  0.039	 -0.124	  0.037	 -0.135	  0.039   29.9    9.9
CanesVenaticiII	  0.330	  0.288	  0.324	  0.314	  0.018	 -0.162	  0.067	 -0.271	  0.059 -126.4    9.8
Carina         	  0.542	  0.716	  0.495	  0.584	  0.095	  0.515	  0.045	  0.129	  0.046  223.0   10.0
CarinaII       	  0.959	  0.988	  0.957	  0.968	  0.014	  1.879	  0.056	  0.137	  0.056  476.8    9.9
CarinaIII      	  0.988	  0.989	  0.990	  0.989	  0.001	  3.079	  0.075	  1.387	  0.075  286.0    9.9
CentaurusI     	  0.006	  0.014	  0.007	  0.009	  0.003	 -0.137	  0.047	 -0.201	  0.048  186.2   82.6
CetusII        	  0.001	  0.000	  0.000	  0.000	  0.001	  2.839	  0.070	  0.459	  0.070  -44.4  118.8
CetusIII       	  0.014	  0.006	  0.000	  0.007	  0.006	  0.157	  0.056	 -0.144	  0.056  -72.6   57.2
ColumbaI       	  0.006	  0.009	  0.000	  0.005	  0.004	  0.186	  0.056	 -0.281	  0.063  153.8    9.9
ComaBerenices  	  0.000	  0.000	  0.000	  0.000	  0.000	  0.423	  0.050	 -1.716	  0.050   97.6    9.9
CraterII       	  0.106	  0.357	  0.113	  0.192	  0.117	 -0.081	  0.045	 -0.098	  0.049   88.4    9.9
Delve1         	  0.000	  0.000	  0.001	  0.000	  0.000	  0.033	  0.111	 -1.542	  0.111  -62.1  137.0
Delve2         	  0.954	  0.913	  0.931	  0.933	  0.017	  0.973	  0.108	 -0.959	  0.081  159.0   74.4
Draco          	  0.321	  0.452	  0.371	  0.381	  0.054	  0.024	  0.049	 -0.183	  0.049 -289.5    9.9
DracoII        	  0.018	  0.000	  0.005	  0.008	  0.007	  1.099	  0.105	  0.902	  0.105 -346.4   10.0
EridanusII     	  0.000	  0.000	  0.000	  0.000	  0.000	  0.140	  0.032	 -0.062	  0.029   77.2    9.6
EridanusIII    	  0.975	  0.882	  0.972	  0.943	  0.043	  1.269	  0.114	 -0.666	  0.114  148.0   71.1
Fornax         	  0.425	  0.350	  0.343	  0.373	  0.037	  0.372	  0.046	 -0.358	  0.045   55.4    9.9
GrusI          	  0.059	  0.053	  0.010	  0.041	  0.022	  0.078	  0.047	 -0.305	  0.067 -138.6    9.9
GrusII         	  0.287	  0.249	  0.132	  0.222	  0.066	  0.387	  0.050	 -1.509	  0.051 -109.8   10.0
Hercules       	  0.008	  0.003	  0.004	  0.005	  0.002	 -0.067	  0.047	 -0.326	  0.048   43.3    9.9
HorologiumI    	  0.972	  0.868	  0.892	  0.911	  0.045	  0.861	  0.050	 -0.598	  0.049  113.7    9.9
HorologiumII   	  0.960	  0.933	  0.960	  0.951	  0.013	  1.074	  0.155	 -0.707	  0.160  169.1   12.6
HydraII        	  0.237	  0.179	  0.155	  0.190	  0.035	 -0.240	  0.096	 -0.043	  0.074  302.2   10.1
HydrusI        	  0.976	  0.941	  0.961	  0.960	  0.014	  3.780	  0.076	 -1.501	  0.076   81.8    9.9
Indus1         	  0.193	  0.190	  0.181	  0.188	  0.005	 -0.009	  0.181	 -0.745	  0.287   25.9   88.4
LeoI           	  0.090	  0.149	  0.200	  0.146	  0.045	 -0.040	  0.034	 -0.132	  0.036  279.1    9.9
LeoII          	  0.303	  0.254	  0.279	  0.279	  0.020	 -0.094	  0.040	 -0.151	  0.033   78.0    9.9
LeoIV          	  0.051	  0.068	  0.046	  0.055	  0.010	 -0.088	  0.087	 -0.248	  0.088  132.8    9.9
LeoV           	  0.017	  0.018	  0.013	  0.016	  0.002	 -0.079	  0.088	 -0.268	  0.086  171.8    9.9
PegasusIII     	  0.064	  0.148	  0.113	  0.108	  0.035	  0.058	  0.070	 -0.163	  0.081 -223.0    9.9
Phoenix        	  0.000	  0.000	  0.000	  0.000	  0.000	  0.106	  0.022	 -0.096	  0.022  -15.9    9.4
PhoenixII      	  0.967	  0.920	  0.949	  0.945	  0.019	  0.507	  0.048	 -1.197	  0.058   31.8    9.9
PictorI        	  0.017	  0.023	  0.007	  0.016	  0.007	  0.185	  0.073	  0.019	  0.099  151.4   85.1
PictorII       	  0.997	  0.995	  0.993	  0.995	  0.002	  1.158	  0.059	  1.130	  0.054  327.5   67.8
PiscesII       	  0.194	  0.321	  0.184	  0.233	  0.062	  0.162	  0.089	 -0.266	  0.098 -226.2   10.1
ReticulumII    	  0.875	  0.762	  0.748	  0.795	  0.057	  2.378	  0.067	 -1.346	  0.067   65.5    9.9
ReticulumIII   	  0.128	  0.101	  0.083	  0.104	  0.019	  0.353	  0.138	 -0.420	  0.206  272.8   10.0
Sagittarius    	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.670	  0.081	 -1.384	  0.081  139.0   10.0
SagittariusII  	  0.004	  0.000	  0.000	  0.001	  0.002	 -0.764	  0.049	 -0.912	  0.049 -176.0    9.9
Sculptor       	  0.001	  0.002	  0.000	  0.001	  0.001	  0.109	  0.049	 -0.173	  0.049  110.0    9.9
Segue1         	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.051	  0.092	 -3.412	  0.091  207.7   10.0
Segue2         	  0.000	  0.001	  0.000	  0.000	  0.000	  1.429	  0.058	 -0.315	  0.057  -40.5   10.0
Sextans        	  0.000	  0.000	  0.001	  0.000	  0.001	 -0.387	  0.048	  0.002	  0.049  223.5    9.9
SMC            	  0.955	  0.873	  0.933	  0.921	  0.035	  0.684	  0.050	 -1.240	  0.049  145.4    9.9
TriangulumII   	  0.021	  0.000	  0.000	  0.007	  0.010	  0.585	  0.074	  0.073	  0.074 -379.9   10.0
TucanaII       	  0.338	  0.417	  0.121	  0.292	  0.125	  0.902	  0.050	 -1.268	  0.050 -128.0   10.0
TucanaIII      	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.072	  0.084	 -1.618	  0.084 -101.2   10.0
TucanaIV       	  0.231	  0.154	  0.110	  0.165	  0.050	  0.562	  0.050	 -1.687	  0.050   16.2   10.0
TucanaV        	  0.009	  0.129	  0.001	  0.046	  0.059	 -0.134	  0.050	 -1.175	  0.055  -35.8   10.0
UrsaMajorI     	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.385	  0.049	 -0.624	  0.049  -54.9    9.9
UrsaMajorII    	  0.000	  0.000	  0.000	  0.000	  0.000	  1.719	  0.061	 -1.894	  0.061 -116.3   10.0
UrsaMinor      	  0.462	  0.495	  0.429	  0.462	  0.027	 -0.132	  0.049	  0.061	  0.049 -246.2    9.9
Virgo1         	  0.095	  0.096	  0.107	  0.100	  0.005	 -0.273	  0.237	 -0.359	  0.243  139.8   93.1
Willman1       	  0.000	  0.004	  0.000	  0.001	  0.002	  0.273	  0.065	 -1.111	  0.075  -13.0   10.0
