# name         	particl	GMM	rewind	mean	scatter	pmra	e_pmra	pmdec	e_pmdec	vlos	e_vlos
Sagittarius    	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.672	  0.081	 -1.383	  0.081  139.1   10.0
SagittariusII  	  0.072	  0.004	  0.039	  0.038	  0.028	 -0.762	  0.050	 -0.909	  0.050 -176.7   10.0
Sculptor       	  0.045	  0.018	  0.047	  0.037	  0.013	  0.110	  0.049	 -0.174	  0.049  110.3   10.0
Segue1         	  0.000	  0.004	  0.000	  0.002	  0.002	 -2.049	  0.091	 -3.409	  0.091  208.4   10.0
Segue2         	  0.000	  0.000	  0.000	  0.000	  0.000	  1.426	  0.058	 -0.315	  0.058  -40.6   10.0
Sextans        	  0.020	  0.001	  0.004	  0.008	  0.008	 -0.385	  0.049	  0.003	  0.049  223.7    9.9
SMC            	  0.983	  0.939	  0.966	  0.963	  0.018	  0.683	  0.050	 -1.241	  0.049  145.5    9.9
TriangulumII   	  0.000	  0.000	  0.000	  0.000	  0.000	  0.587	  0.073	  0.058	  0.075 -380.6   10.0
TucanaII       	  0.524	  0.438	  0.279	  0.413	  0.101	  0.900	  0.049	 -1.270	  0.051 -127.9    9.9
TucanaIII      	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.074	  0.084	 -1.622	  0.084 -101.5   10.0
TucanaIV       	  0.591	  0.292	  0.275	  0.386	  0.145	  0.564	  0.050	 -1.688	  0.050   16.0   10.0
TucanaV        	  0.003	  0.004	  0.000	  0.002	  0.002	 -0.135	  0.050	 -1.170	  0.054  -36.4   10.0
UrsaMajorI     	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.383	  0.048	 -0.633	  0.049  -55.7    9.9
UrsaMajorII    	  0.001	  0.001	  0.000	  0.001	  0.000	  1.719	  0.061	 -1.897	  0.061 -116.4   10.0
UrsaMinor      	  0.512	  0.659	  0.645	  0.605	  0.066	 -0.128	  0.047	  0.062	  0.048 -246.1   10.0
Virgo1         	  0.123	  0.121	  0.117	  0.120	  0.002	 -0.256	  0.213	 -0.331	  0.223  138.9   99.5
Willman1       	  0.000	  0.002	  0.000	  0.001	  0.001	  0.270	  0.065	 -1.112	  0.074  -13.1   10.0
