# time[Gyr] ax ay az[(km/s)^2/kpc]
-0.148438 -21.5436 34.2584 148.62
-0.140625 -20.728 41.2059 150.226
-0.132812 -19.7561 48.4676 151.294
-0.125 -18.6231 55.9903 151.757
-0.117188 -17.3267 63.7083 151.555
-0.109375 -15.8679 71.5435 150.632
-0.101562 -14.2507 79.4069 148.947
-0.09375 -12.4828 87.2005 146.471
-0.0859375 -10.5756 94.8201 143.192
-0.078125 -8.54361 102.159 139.115
-0.0703125 -6.40457 109.111 134.263
-0.0625 -4.17882 115.575 128.678
-0.0546875 -1.88842 121.458 122.42
-0.046875 0.443659 126.681 115.56
-0.0390625 2.79416 131.178 108.185
-0.03125 5.14048 134.898 100.387
-0.0234375 7.46144 137.81 92.2677
-0.015625 9.73749 139.902 83.9284
-0.0078125 11.6527 141.56 75.7222
0 13.5082 142.461 67.4794
