# time[~Gyr] x y z[kpc] vx vy vz[km/s]
-5 45.7703 437.248 130.754 2.5726 -14.8116 -39.5548
-4.99219 45.7904 437.132 130.445 2.55764 -14.9512 -39.596
-4.98438 45.8103 437.014 130.136 2.54266 -15.0909 -39.6372
-4.97656 45.8301 436.896 129.826 2.52765 -15.2306 -39.6783
-4.96875 45.8498 436.776 129.516 2.51261 -15.3705 -39.7194
-4.96094 45.8694 436.656 129.205 2.49756 -15.5104 -39.7604
-4.95312 45.8888 436.534 128.894 2.48253 -15.6501 -39.8015
-4.94531 45.9081 436.411 128.583 2.46749 -15.7898 -39.8426
-4.9375 45.9274 436.287 128.272 2.4524 -15.9298 -39.8836
-4.92969 45.9465 436.162 127.96 2.43725 -16.0701 -39.9246
-4.92188 45.9654 436.036 127.648 2.42206 -16.2105 -39.9654
-4.91406 45.9843 435.909 127.336 2.40683 -16.3511 -40.0062
-4.90625 46.003 435.781 127.023 2.39157 -16.4918 -40.047
-4.89844 46.0217 435.651 126.71 2.37629 -16.6326 -40.0877
-4.89062 46.0402 435.521 126.397 2.36097 -16.7736 -40.1283
-4.88281 46.0586 435.389 126.083 2.34563 -16.9146 -40.169
-4.875 46.0768 435.257 125.769 2.33025 -17.0559 -40.2095
-4.86719 46.095 435.123 125.455 2.31484 -17.1972 -40.2501
-4.85938 46.113 434.988 125.14 2.29941 -17.3386 -40.2905
-4.85156 46.1309 434.852 124.825 2.28394 -17.4802 -40.331
-4.84375 46.1487 434.715 124.51 2.26844 -17.622 -40.3714
-4.83594 46.1663 434.577 124.194 2.25292 -17.7638 -40.4117
-4.82812 46.1839 434.437 123.878 2.23736 -17.9058 -40.452
-4.82031 46.2013 434.297 123.562 2.22178 -18.0479 -40.4923
-4.8125 46.2186 434.155 123.246 2.20617 -18.1902 -40.5325
-4.80469 46.2358 434.013 122.929 2.19052 -18.3325 -40.5727
-4.79688 46.2528 433.869 122.612 2.17485 -18.4751 -40.6128
-4.78906 46.2698 433.724 122.294 2.15915 -18.6177 -40.6528
-4.78125 46.2866 433.578 121.977 2.14341 -18.7606 -40.6929
-4.77344 46.3032 433.431 121.659 2.12765 -18.9035 -40.7328
-4.76562 46.3198 433.282 121.34 2.11186 -19.0466 -40.7728
-4.75781 46.3362 433.133 121.021 2.09604 -19.1898 -40.8127
-4.75 46.3526 432.983 120.702 2.08019 -19.3332 -40.8525
-4.74219 46.3687 432.831 120.383 2.06431 -19.4767 -40.8923
-4.73438 46.3848 432.678 120.063 2.0484 -19.6204 -40.932
-4.72656 46.4008 432.524 119.744 2.03246 -19.7642 -40.9717
-4.71875 46.4166 432.37 119.423 2.01649 -19.9082 -41.0114
-4.71094 46.4323 432.213 119.103 2.00049 -20.0523 -41.051
-4.70312 46.4478 432.056 118.782 1.98446 -20.1966 -41.0906
-4.69531 46.4633 431.898 118.461 1.96841 -20.341 -41.1301
-4.6875 46.4786 431.738 118.139 1.95232 -20.4856 -41.1695
-4.67969 46.4938 431.578 117.817 1.93621 -20.6303 -41.209
-4.67188 46.5088 431.416 117.495 1.92006 -20.7752 -41.2483
-4.66406 46.5238 431.253 117.173 1.90389 -20.9203 -41.2877
-4.65625 46.5386 431.089 116.85 1.88769 -21.0655 -41.3269
-4.64844 46.5533 430.924 116.527 1.87145 -21.2108 -41.3662
-4.64062 46.5678 430.758 116.204 1.85519 -21.3563 -41.4054
-4.63281 46.5823 430.59 115.88 1.8389 -21.502 -41.4445
-4.625 46.5966 430.422 115.556 1.82259 -21.6478 -41.4836
-4.61719 46.6107 430.252 115.232 1.80624 -21.7938 -41.5226
-4.60938 46.6248 430.081 114.908 1.78986 -21.94 -41.5616
-4.60156 46.6387 429.909 114.583 1.77346 -22.0863 -41.6006
-4.59375 46.6525 429.736 114.257 1.75702 -22.2328 -41.6395
-4.58594 46.6662 429.562 113.932 1.74056 -22.3794 -41.6783
-4.57812 46.6797 429.386 113.606 1.72407 -22.5263 -41.7171
-4.57031 46.6931 429.21 113.28 1.70755 -22.6733 -41.7559
-4.5625 46.7064 429.032 112.954 1.691 -22.8204 -41.7946
-4.55469 46.7195 428.853 112.627 1.67442 -22.9678 -41.8333
-4.54688 46.7325 428.673 112.3 1.65781 -23.1153 -41.8719
-4.53906 46.7454 428.492 111.973 1.64118 -23.2629 -41.9104
-4.53125 46.7582 428.31 111.645 1.62451 -23.4108 -41.9489
-4.52344 46.7708 428.126 111.317 1.60782 -23.5588 -41.9874
-4.51562 46.7833 427.942 110.989 1.5911 -23.707 -42.0258
-4.50781 46.7957 427.756 110.661 1.57435 -23.8554 -42.0642
-4.5 46.8079 427.569 110.332 1.55757 -24.004 -42.1025
-4.49219 46.82 427.381 110.003 1.54076 -24.1527 -42.1408
-4.48438 46.832 427.192 109.674 1.52392 -24.3016 -42.179
-4.47656 46.8438 427.001 109.344 1.50706 -24.4507 -42.2172
-4.46875 46.8555 426.81 109.014 1.49016 -24.6 -42.2553
-4.46094 46.8671 426.617 108.684 1.47324 -24.7495 -42.2934
-4.45312 46.8785 426.423 108.353 1.45629 -24.8991 -42.3314
-4.44531 46.8898 426.228 108.022 1.43931 -25.049 -42.3694
-4.4375 46.901 426.031 107.691 1.4223 -25.199 -42.4073
-4.42969 46.9121 425.834 107.36 1.40526 -25.3492 -42.4452
-4.42188 46.923 425.635 107.028 1.38819 -25.4997 -42.483
-4.41406 46.9338 425.436 106.696 1.3711 -25.6503 -42.5208
-4.40625 46.9444 425.235 106.363 1.35397 -25.8011 -42.5585
-4.39844 46.9549 425.032 106.031 1.33682 -25.9521 -42.5962
-4.39062 46.9653 424.829 105.698 1.31964 -26.1032 -42.6338
-4.38281 46.9755 424.625 105.365 1.30243 -26.2546 -42.6714
-4.375 46.9856 424.419 105.031 1.28519 -26.4062 -42.7089
-4.36719 46.9956 424.212 104.697 1.26792 -26.558 -42.7464
-4.35938 47.0055 424.004 104.363 1.25063 -26.71 -42.7838
-4.35156 47.0152 423.795 104.029 1.2333 -26.8622 -42.8212
-4.34375 47.0247 423.584 103.694 1.21595 -27.0146 -42.8585
-4.33594 47.0342 423.372 103.359 1.19856 -27.1672 -42.8958
-4.32812 47.0435 423.16 103.024 1.18115 -27.32 -42.933
-4.32031 47.0526 422.946 102.688 1.16371 -27.473 -42.9702
-4.3125 47.0616 422.73 102.353 1.14624 -27.6262 -43.0073
-4.30469 47.0705 422.514 102.016 1.12875 -27.7796 -43.0444
-4.29688 47.0793 422.296 101.68 1.11122 -27.9332 -43.0814
-4.28906 47.0879 422.077 101.343 1.09366 -28.0871 -43.1183
-4.28125 47.0964 421.857 101.006 1.07608 -28.2412 -43.1553
-4.27344 47.1047 421.636 100.669 1.05846 -28.3954 -43.1921
-4.26562 47.1129 421.414 100.331 1.04082 -28.5499 -43.2289
-4.25781 47.121 421.19 99.9935 1.02315 -28.7046 -43.2657
-4.25 47.1289 420.965 99.6553 1.00545 -28.8596 -43.3024
-4.24219 47.1367 420.739 99.3169 0.987718 -29.0147 -43.339
-4.23438 47.1443 420.512 98.9782 0.969959 -29.1701 -43.3756
-4.22656 47.1518 420.283 98.6392 0.952171 -29.3257 -43.4121
-4.21875 47.1592 420.054 98.2999 0.934353 -29.4815 -43.4486
-4.21094 47.1664 419.823 97.9603 0.916506 -29.6375 -43.485
-4.20312 47.1735 419.591 97.6204 0.89863 -29.7938 -43.5214
-4.19531 47.1805 419.357 97.2803 0.880725 -29.9503 -43.5577
-4.1875 47.1873 419.123 96.9398 0.862791 -30.107 -43.594
-4.17969 47.1939 418.887 96.5991 0.844826 -30.264 -43.6302
-4.17188 47.2005 418.65 96.2581 0.826833 -30.4212 -43.6664
-4.16406 47.2069 418.411 95.9168 0.80881 -30.5786 -43.7025
-4.15625 47.2131 418.172 95.5752 0.790758 -30.7363 -43.7385
-4.14844 47.2192 417.931 95.2334 0.772676 -30.8942 -43.7745
-4.14062 47.2252 417.689 94.8913 0.754564 -31.0523 -43.8105
-4.13281 47.231 417.446 94.5489 0.736423 -31.2107 -43.8464
-4.125 47.2367 417.202 94.2062 0.718252 -31.3693 -43.8822
-4.11719 47.2422 416.956 93.8632 0.700051 -31.5282 -43.918
-4.10938 47.2476 416.709 93.5199 0.68182 -31.6873 -43.9537
-4.10156 47.2529 416.461 93.1764 0.66356 -31.8466 -43.9893
-4.09375 47.258 416.211 92.8326 0.645269 -32.0062 -44.0249
-4.08594 47.263 415.961 92.4885 0.626949 -32.1661 -44.0605
-4.07812 47.2678 415.709 92.1442 0.608598 -32.3262 -44.096
-4.07031 47.2725 415.456 91.7995 0.590217 -32.4865 -44.1314
-4.0625 47.277 415.201 91.4546 0.571806 -32.6471 -44.1668
-4.05469 47.2814 414.945 91.1094 0.553365 -32.808 -44.2021
-4.04688 47.2857 414.689 90.764 0.534894 -32.9691 -44.2374
-4.03906 47.2898 414.43 90.4182 0.516392 -33.1305 -44.2726
-4.03125 47.2937 414.171 90.0722 0.497859 -33.2921 -44.3077
-4.02344 47.2976 413.91 89.7259 0.479296 -33.454 -44.3428
-4.01562 47.3012 413.648 89.3793 0.460702 -33.6162 -44.3778
-4.00781 47.3047 413.385 89.0325 0.442078 -33.7786 -44.4128
-4 47.3081 413.12 88.6854 0.423423 -33.9413 -44.4477
-3.99219 47.3114 412.855 88.338 0.404737 -34.1042 -44.4826
-3.98438 47.3145 412.587 87.9904 0.38602 -34.2675 -44.5173
-3.97656 47.3174 412.319 87.6424 0.367272 -34.431 -44.5521
-3.96875 47.3202 412.049 87.2942 0.348493 -34.5947 -44.5867
-3.96094 47.3228 411.779 86.9458 0.329682 -34.7588 -44.6214
