# time[~Gyr] x y z[kpc] vx vy vz[km/s]
-5 24.1372 376.446 147.834 8.81341 15.8294 -36.0519
-4.99219 24.206 376.569 147.552 8.80043 15.6285 -36.1302
-4.98438 24.2747 376.69 147.269 8.7874 15.4276 -36.2083
-4.97656 24.3433 376.81 146.986 8.77434 15.2266 -36.2862
-4.96875 24.4118 376.928 146.702 8.76125 15.0256 -36.3641
-4.96094 24.4802 377.044 146.418 8.74818 14.8246 -36.442
-4.95312 24.5485 377.159 146.133 8.73511 14.6236 -36.52
-4.94531 24.6166 377.273 145.847 8.72202 14.4225 -36.5979
-4.9375 24.6847 377.385 145.561 8.70885 14.2214 -36.6755
-4.92969 24.7527 377.495 145.274 8.69562 14.0201 -36.7528
-4.92188 24.8206 377.604 144.987 8.68235 13.8188 -36.8299
-4.91406 24.8884 377.711 144.699 8.66904 13.6174 -36.9069
-4.90625 24.9561 377.817 144.41 8.65569 13.4159 -36.9838
-4.89844 25.0236 377.921 144.121 8.6423 13.2144 -37.0605
-4.89062 25.0911 378.023 143.831 8.62888 13.0128 -37.1371
-4.88281 25.1585 378.124 143.54 8.61542 12.8111 -37.2135
-4.875 25.2257 378.223 143.249 8.60192 12.6094 -37.2898
-4.86719 25.2929 378.321 142.958 8.58839 12.4076 -37.3659
-4.85938 25.3599 378.417 142.666 8.57482 12.2057 -37.4419
-4.85156 25.4268 378.512 142.373 8.56122 12.0038 -37.5178
-4.84375 25.4937 378.605 142.079 8.54757 11.8017 -37.5936
-4.83594 25.5604 378.696 141.785 8.53389 11.5997 -37.6691
-4.82812 25.627 378.786 141.491 8.52017 11.3975 -37.7446
-4.82031 25.6935 378.874 141.196 8.50642 11.1953 -37.8199
-4.8125 25.7599 378.961 140.9 8.49263 10.993 -37.8951
-4.80469 25.8262 379.046 140.603 8.4788 10.7906 -37.9701
-4.79688 25.8924 379.129 140.306 8.46493 10.5882 -38.045
-4.78906 25.9585 379.211 140.009 8.45102 10.3856 -38.1198
-4.78125 26.0245 379.292 139.711 8.43708 10.183 -38.1944
-4.77344 26.0903 379.37 139.412 8.42309 9.98025 -38.2689
-4.76562 26.1561 379.448 139.113 8.40907 9.77744 -38.3433
-4.75781 26.2217 379.523 138.813 8.39501 9.57454 -38.4175
-4.75 26.2872 379.597 138.513 8.38091 9.37155 -38.4916
-4.74219 26.3527 379.67 138.212 8.36678 9.16847 -38.5656
-4.73438 26.418 379.741 137.91 8.3526 8.96529 -38.6394
-4.72656 26.4832 379.81 137.608 8.33839 8.76202 -38.7131
-4.71875 26.5483 379.877 137.305 8.32413 8.55866 -38.7867
-4.71094 26.6132 379.944 137.002 8.30984 8.3552 -38.8601
-4.70312 26.6781 380.008 136.698 8.29551 8.15164 -38.9334
-4.69531 26.7428 380.071 136.394 8.28114 7.94798 -39.0066
-4.6875 26.8075 380.132 136.089 8.26673 7.74422 -39.0796
-4.67969 26.872 380.192 135.783 8.25228 7.54036 -39.1525
-4.67188 26.9364 380.25 135.477 8.23779 7.3364 -39.2253
-4.66406 27.0007 380.307 135.17 8.22326 7.13233 -39.2979
-4.65625 27.0649 380.361 134.863 8.20869 6.92816 -39.3704
-4.64844 27.129 380.415 134.555 8.19408 6.72388 -39.4428
-4.64062 27.1929 380.466 134.246 8.17943 6.51949 -39.515
-4.63281 27.2568 380.517 133.937 8.16474 6.31499 -39.5871
-4.625 27.3205 380.565 133.628 8.15001 6.11038 -39.6591
-4.61719 27.3841 380.612 133.318 8.13524 5.90566 -39.731
-4.60938 27.4476 380.657 133.007 8.12043 5.70082 -39.8027
-4.60156 27.511 380.701 132.696 8.10558 5.49587 -39.8743
-4.59375 27.5743 380.743 132.384 8.09069 5.2908 -39.9458
-4.58594 27.6374 380.784 132.072 8.07575 5.08562 -40.0171
-4.57812 27.7005 380.823 131.759 8.06078 4.88031 -40.0883
-4.57031 27.7634 380.86 131.445 8.04576 4.67488 -40.1594
-4.5625 27.8262 380.896 131.131 8.03071 4.46933 -40.2303
-4.55469 27.8889 380.93 130.817 8.01561 4.26366 -40.3012
-4.54688 27.9514 380.962 130.502 8.00047 4.05786 -40.3719
-4.53906 28.0139 380.993 130.186 7.98529 3.85194 -40.4424
-4.53125 28.0762 381.023 129.87 7.97006 3.64589 -40.5129
