# time boundmass
-11.00000 1.99956e+11
-10.93750 1.99956e+11
-10.87500 1.99956e+11
-10.81250 1.99956e+11
-10.75000 1.99956e+11
-10.68750 1.99956e+11
-10.62500 1.99956e+11
-10.56250 1.99956e+11
-10.50000 1.99955e+11
-10.43750 1.99951e+11
-10.37500 1.99944e+11
-10.31250 1.99927e+11
-10.25000 1.99899e+11
-10.18750 1.99852e+11
-10.12500 1.99773e+11
-10.06250 1.99654e+11
-10.00000 1.99486e+11
 -9.93750 1.99271e+11
 -9.87500 1.98984e+11
 -9.81250 1.98618e+11
 -9.75000 1.98163e+11
 -9.68750 1.9762e+11
 -9.62500 1.96973e+11
 -9.56250 1.96204e+11
 -9.50000 1.95288e+11
 -9.43750 1.94198e+11
 -9.37500 1.9283e+11
 -9.31250 1.9114e+11
 -9.25000 1.8906e+11
 -9.18750 1.86521e+11
 -9.12500 1.83548e+11
 -9.06250 1.80075e+11
 -9.00000 1.76287e+11
 -8.93750 1.72239e+11
 -8.87500 1.68078e+11
 -8.81250 1.64082e+11
 -8.75000 1.6047e+11
 -8.68750 1.5737e+11
 -8.62500 1.54867e+11
 -8.56250 1.52941e+11
 -8.50000 1.51482e+11
 -8.43750 1.50413e+11
 -8.37500 1.49674e+11
 -8.31250 1.49114e+11
 -8.25000 1.48715e+11
 -8.18750 1.48389e+11
 -8.12500 1.48124e+11
 -8.06250 1.47892e+11
 -8.00000 1.47707e+11
 -7.93750 1.47482e+11
 -7.87500 1.47247e+11
 -7.81250 1.47019e+11
 -7.75000 1.46808e+11
 -7.68750 1.46548e+11
 -7.62500 1.4629e+11
 -7.56250 1.46014e+11
 -7.50000 1.45706e+11
 -7.43750 1.45395e+11
 -7.37500 1.45078e+11
 -7.31250 1.44751e+11
 -7.25000 1.44424e+11
 -7.18750 1.44086e+11
 -7.12500 1.43744e+11
 -7.06250 1.43408e+11
 -7.00000 1.43068e+11
 -6.93750 1.42738e+11
 -6.87500 1.42397e+11
 -6.81250 1.42051e+11
 -6.75000 1.41711e+11
 -6.68750 1.41362e+11
 -6.62500 1.41037e+11
 -6.56250 1.40703e+11
 -6.50000 1.4038e+11
 -6.43750 1.40051e+11
 -6.37500 1.39731e+11
 -6.31250 1.39398e+11
 -6.25000 1.39095e+11
 -6.18750 1.38786e+11
 -6.12500 1.38471e+11
 -6.06250 1.38176e+11
 -6.00000 1.37881e+11
 -5.93750 1.37601e+11
 -5.87500 1.37307e+11
 -5.81250 1.37017e+11
 -5.75000 1.36743e+11
 -5.68750 1.3645e+11
 -5.62500 1.36174e+11
 -5.56250 1.35889e+11
 -5.50000 1.35618e+11
 -5.43750 1.35339e+11
 -5.37500 1.35049e+11
 -5.31250 1.34764e+11
 -5.25000 1.34475e+11
 -5.18750 1.34203e+11
 -5.12500 1.3394e+11
 -5.06250 1.33667e+11
 -5.00000 1.33395e+11
 -4.93750 1.33135e+11
 -4.87500 1.32855e+11
 -4.81250 1.32579e+11
 -4.75000 1.32321e+11
 -4.68750 1.32039e+11
 -4.62500 1.31777e+11
 -4.56250 1.31514e+11
 -4.50000 1.31257e+11
 -4.43750 1.31002e+11
 -4.37500 1.30752e+11
 -4.31250 1.30497e+11
 -4.25000 1.30244e+11
 -4.18750 1.3e+11
 -4.12500 1.29747e+11
 -4.06250 1.29501e+11
 -4.00000 1.29254e+11
 -3.93750 1.29016e+11
 -3.87500 1.28771e+11
 -3.81250 1.28541e+11
 -3.75000 1.28304e+11
 -3.68750 1.28066e+11
 -3.62500 1.27826e+11
 -3.56250 1.2759e+11
 -3.50000 1.27362e+11
 -3.43750 1.27136e+11
 -3.37500 1.26904e+11
 -3.31250 1.26675e+11
 -3.25000 1.26436e+11
 -3.18750 1.26197e+11
 -3.12500 1.25961e+11
 -3.06250 1.25721e+11
 -3.00000 1.25473e+11
 -2.93750 1.25222e+11
 -2.87500 1.24972e+11
 -2.81250 1.2472e+11
 -2.75000 1.24452e+11
 -2.68750 1.24188e+11
 -2.62500 1.23927e+11
 -2.56250 1.23676e+11
 -2.50000 1.23417e+11
 -2.43750 1.23166e+11
 -2.37500 1.2291e+11
 -2.31250 1.22644e+11
 -2.25000 1.22387e+11
 -2.18750 1.22115e+11
 -2.12500 1.21843e+11
 -2.06250 1.2158e+11
 -2.00000 1.21305e+11
 -1.93750 1.21019e+11
 -1.87500 1.20725e+11
 -1.81250 1.20424e+11
 -1.75000 1.20112e+11
 -1.68750 1.19782e+11
 -1.62500 1.19427e+11
 -1.56250 1.19054e+11
 -1.50000 1.18656e+11
 -1.43750 1.18236e+11
 -1.37500 1.17757e+11
 -1.31250 1.17268e+11
 -1.25000 1.16727e+11
 -1.18750 1.16159e+11
 -1.12500 1.1553e+11
 -1.06250 1.14868e+11
 -1.00000 1.14163e+11
 -0.93750 1.13367e+11
 -0.87500 1.12507e+11
 -0.81250 1.11564e+11
 -0.75000 1.10507e+11
 -0.68750 1.09345e+11
 -0.62500 1.08023e+11
 -0.56250 1.06485e+11
 -0.50000 1.04722e+11
 -0.43750 1.0261e+11
 -0.37500 1.00126e+11
 -0.31250 9.71525e+10
 -0.25000 9.34579e+10
 -0.18750 8.88153e+10
 -0.12500 8.33395e+10
 -0.06250 7.779e+10
  0.00000 7.35673e+10
