# time boundmass
-10.00000 1.99956e+11
 -9.93750 1.99956e+11
 -9.87500 1.99956e+11
 -9.81250 1.99956e+11
 -9.75000 1.99956e+11
 -9.68750 1.99956e+11
 -9.62500 1.99956e+11
 -9.56250 1.99956e+11
 -9.50000 1.99956e+11
 -9.43750 1.99956e+11
 -9.37500 1.99956e+11
 -9.31250 1.99956e+11
 -9.25000 1.99956e+11
 -9.18750 1.99956e+11
 -9.12500 1.99956e+11
 -9.06250 1.99956e+11
 -9.00000 1.99956e+11
 -8.93750 1.99955e+11
 -8.87500 1.99954e+11
 -8.81250 1.99952e+11
 -8.75000 1.99949e+11
 -8.68750 1.99942e+11
 -8.62500 1.99933e+11
 -8.56250 1.99919e+11
 -8.50000 1.99896e+11
 -8.43750 1.99864e+11
 -8.37500 1.99826e+11
 -8.31250 1.99771e+11
 -8.25000 1.99703e+11
 -8.18750 1.99618e+11
 -8.12500 1.99514e+11
 -8.06250 1.99386e+11
 -8.00000 1.99224e+11
 -7.93750 1.99032e+11
 -7.87500 1.98825e+11
 -7.81250 1.98561e+11
 -7.75000 1.98267e+11
 -7.68750 1.97933e+11
 -7.62500 1.97549e+11
 -7.56250 1.97102e+11
 -7.50000 1.96601e+11
 -7.43750 1.96019e+11
 -7.37500 1.95336e+11
 -7.31250 1.94542e+11
 -7.25000 1.93603e+11
 -7.18750 1.92484e+11
 -7.12500 1.91134e+11
 -7.06250 1.895e+11
 -7.00000 1.87563e+11
 -6.93750 1.85229e+11
 -6.87500 1.82399e+11
 -6.81250 1.79033e+11
 -6.75000 1.75138e+11
 -6.68750 1.70803e+11
 -6.62500 1.66139e+11
 -6.56250 1.61491e+11
 -6.50000 1.57068e+11
 -6.43750 1.53092e+11
 -6.37500 1.49748e+11
 -6.31250 1.47079e+11
 -6.25000 1.45044e+11
 -6.18750 1.43548e+11
 -6.12500 1.42482e+11
 -6.06250 1.41727e+11
 -6.00000 1.41223e+11
 -5.93750 1.40862e+11
 -5.87500 1.40558e+11
 -5.81250 1.4034e+11
 -5.75000 1.40122e+11
 -5.68750 1.39917e+11
 -5.62500 1.39722e+11
 -5.56250 1.39519e+11
 -5.50000 1.39278e+11
 -5.43750 1.39048e+11
 -5.37500 1.38816e+11
 -5.31250 1.38548e+11
 -5.25000 1.38249e+11
 -5.18750 1.37909e+11
 -5.12500 1.37611e+11
 -5.06250 1.37287e+11
 -5.00000 1.36923e+11
 -4.93750 1.36577e+11
 -4.87500 1.36197e+11
 -4.81250 1.35821e+11
 -4.75000 1.3543e+11
 -4.68750 1.35047e+11
 -4.62500 1.3466e+11
 -4.56250 1.34257e+11
 -4.50000 1.33859e+11
 -4.43750 1.33449e+11
 -4.37500 1.33055e+11
 -4.31250 1.32638e+11
 -4.25000 1.32212e+11
 -4.18750 1.31791e+11
 -4.12500 1.31361e+11
 -4.06250 1.30936e+11
 -4.00000 1.30522e+11
 -3.93750 1.30105e+11
 -3.87500 1.29689e+11
 -3.81250 1.29264e+11
 -3.75000 1.28841e+11
 -3.68750 1.28411e+11
 -3.62500 1.27995e+11
 -3.56250 1.27564e+11
 -3.50000 1.27149e+11
 -3.43750 1.26729e+11
 -3.37500 1.26316e+11
 -3.31250 1.25888e+11
 -3.25000 1.25485e+11
 -3.18750 1.25077e+11
 -3.12500 1.24669e+11
 -3.06250 1.24252e+11
 -3.00000 1.23839e+11
 -2.93750 1.23408e+11
 -2.87500 1.23002e+11
 -2.81250 1.22594e+11
 -2.75000 1.2217e+11
 -2.68750 1.21745e+11
 -2.62500 1.21314e+11
 -2.56250 1.20893e+11
 -2.50000 1.20447e+11
 -2.43750 1.20007e+11
 -2.37500 1.19536e+11
 -2.31250 1.19078e+11
 -2.25000 1.18605e+11
 -2.18750 1.18108e+11
 -2.12500 1.17617e+11
 -2.06250 1.17126e+11
 -2.00000 1.16629e+11
 -1.93750 1.16134e+11
 -1.87500 1.15641e+11
 -1.81250 1.15161e+11
 -1.75000 1.14675e+11
 -1.68750 1.14213e+11
 -1.62500 1.13746e+11
 -1.56250 1.13267e+11
 -1.50000 1.12792e+11
 -1.43750 1.12298e+11
 -1.37500 1.11793e+11
 -1.31250 1.11261e+11
 -1.25000 1.10682e+11
 -1.18750 1.10074e+11
 -1.12500 1.09409e+11
 -1.06250 1.08702e+11
 -1.00000 1.07925e+11
 -0.93750 1.07067e+11
 -0.87500 1.06104e+11
 -0.81250 1.05057e+11
 -0.75000 1.03897e+11
 -0.68750 1.02648e+11
 -0.62500 1.01219e+11
 -0.56250 9.95716e+10
 -0.50000 9.7695e+10
 -0.43750 9.55424e+10
 -0.37500 9.3043e+10
 -0.31250 9.00969e+10
 -0.25000 8.66471e+10
 -0.18750 8.25733e+10
 -0.12500 7.77663e+10
 -0.06250 7.27712e+10
  0.00000 6.87946e+10
